source_state,target_state,baseline_alt_trade_kcal,staple_deficit_kcal,quantity_kcal,is_new_link,pre_scale_trade_kcal,State,scale_factor,optimized_alt_prod_kcal,pre_scale_alt_trade_kcal,optimized_alt_trade_kcal,capacity_limited,optimized_trade_kcal
uttarakhand,assam,0.0,73561251150.76956,0.0,True,73561251150.76956,uttarakhand,1.0,1176920608402.7932,147222997610.6938,147222997610.6938,False,73561251150.76956
rajasthan,assam,0.0,67397495066.79944,0.0,True,67397495066.79944,rajasthan,1.0,20268478013045.07,366915941903.79456,366915941903.79456,False,67397495066.79944
rajasthan,uttar pradesh,0.0,63409563591.8147,0.0,True,63409563591.8147,rajasthan,1.0,20268478013045.07,366915941903.79456,366915941903.79456,False,63409563591.8147
rajasthan,bihar,0.0,54177393043.88269,0.0,True,54177393043.88269,rajasthan,1.0,20268478013045.07,366915941903.79456,366915941903.79456,False,54177393043.88269
rajasthan,maharashtra,0.0,45813090089.39667,0.0,True,45813090089.39667,rajasthan,1.0,20268478013045.07,366915941903.79456,366915941903.79456,False,45813090089.39667
rajasthan,karnataka,0.0,45525598872.070984,0.0,True,45525598872.070984,rajasthan,1.0,20268478013045.07,366915941903.79456,366915941903.79456,False,45525598872.070984
telangana,kerala,0.0,43901850521.93201,0.0,True,43901850521.93201,telangana,1.0,11852609660379.26,302601080094.03125,302601080094.03125,False,43901850521.93201
uttar pradesh,gujarat,0.0,42939651415.74509,0.0,True,42939651415.74509,uttar pradesh,1.0,21001859344296.227,777639824976.4078,777639824976.4078,False,42939651415.74509
odisha,jharkhand,0.0,42534769574.75,0.0,True,42534769574.75,odisha,1.0,1140053029414.3657,164716280543.2689,164716280543.2689,False,42534769574.75
andhra pradesh,odisha,0.0,36437788333.33333,0.0,True,36437788333.33333,andhra pradesh,1.0,8068367512167.041,454119543652.5958,454119543652.5958,False,36437788333.33333
uttarakhand,bihar,0.0,35711937566.403625,0.0,True,35711937566.403625,uttarakhand,1.0,1176920608402.7932,147222997610.6938,147222997610.6938,False,35711937566.403625
tamil nadu,karnataka,0.0,35091998666.06235,0.0,True,35091998666.06235,tamil nadu,1.0,43285307064698.8,160162448344.8518,160162448344.8518,False,35091998666.06235
uttar pradesh,odisha,0.0,33966384454.588966,0.0,True,33966384454.588966,uttar pradesh,1.0,21001859344296.227,777639824976.4078,777639824976.4078,False,33966384454.588966
tamil nadu,telangana,0.0,30700926559.3982,0.0,True,30700926559.3982,tamil nadu,1.0,43285307064698.8,160162448344.8518,160162448344.8518,False,30700926559.3982
gujarat,punjab,0.0,25894415402.998295,0.0,True,25894415402.998295,gujarat,1.0,17487759072427.385,115134758030.7743,115134758030.7743,False,25894415402.998295
tamil nadu,chhattisgarh,0.0,24441611819.270515,0.0,True,24441611819.270515,tamil nadu,1.0,43285307064698.8,160162448344.8518,160162448344.8518,False,24441611819.270515
uttar pradesh,andhra pradesh,0.0,23408654722.46621,0.0,True,23408654722.46621,uttar pradesh,1.0,21001859344296.227,777639824976.4078,777639824976.4078,False,23408654722.46621
rajasthan,gujarat,0.0,21597634791.451843,0.0,True,21597634791.451843,rajasthan,1.0,20268478013045.07,366915941903.79456,366915941903.79456,False,21597634791.451843
gujarat,uttar pradesh,0.0,20539808348.462563,0.0,True,20539808348.462563,gujarat,1.0,17487759072427.385,115134758030.7743,115134758030.7743,False,20539808348.462563
tamil nadu,punjab,0.0,15738284278.26368,0.0,True,15738284278.26368,tamil nadu,1.0,43285307064698.8,160162448344.8518,160162448344.8518,False,15738284278.26368
telangana,west bengal,0.0,15130580605.866974,0.0,True,15130580605.866974,telangana,1.0,11852609660379.26,302601080094.03125,302601080094.03125,False,15130580605.866974
telangana,karnataka,0.0,14156685143.420547,0.0,True,14156685143.420547,telangana,1.0,11852609660379.26,302601080094.03125,302601080094.03125,False,14156685143.420547
tamil nadu,andhra pradesh,0.0,12289165223.709143,0.0,True,12289165223.709143,tamil nadu,1.0,43285307064698.8,160162448344.8518,160162448344.8518,False,12289165223.709143
uttar pradesh,punjab,0.0,11679895058.434353,0.0,True,11679895058.434353,uttar pradesh,1.0,21001859344296.227,777639824976.4078,777639824976.4078,False,11679895058.434353
uttar pradesh,kerala,0.0,9667520297.182373,0.0,True,9667520297.182373,uttar pradesh,1.0,21001859344296.227,777639824976.4078,777639824976.4078,False,9667520297.182373
rajasthan,jammu and kashmir,0.0,9653572225.209015,0.0,True,9653572225.209015,rajasthan,1.0,20268478013045.07,366915941903.79456,366915941903.79456,False,9653572225.209015
tamil nadu,madhya pradesh,0.0,8776523233.333334,0.0,True,8776523233.333334,tamil nadu,1.0,43285307064698.8,160162448344.8518,160162448344.8518,False,8776523233.333334
maharashtra,gujarat,0.0,8650332625.700375,0.0,True,8650332625.700375,maharashtra,1.0,30339952650147.773,966577489308.4631,966577489308.4631,False,8650332625.700375
gujarat,madhya pradesh,0.0,8556275408.047442,0.0,True,8556275408.047442,gujarat,1.0,17487759072427.385,115134758030.7743,115134758030.7743,False,8556275408.047442
tamil nadu,rajasthan,0.0,8123598466.666666,0.0,True,8123598466.666666,tamil nadu,1.0,43285307064698.8,160162448344.8518,160162448344.8518,False,8123598466.666666
gujarat,karnataka,0.0,7822008140.159706,0.0,True,7822008140.159706,gujarat,1.0,17487759072427.385,115134758030.7743,115134758030.7743,False,7822008140.159706
tamil nadu,haryana,0.0,7457594282.808804,0.0,True,7457594282.808804,tamil nadu,1.0,43285307064698.8,160162448344.8518,160162448344.8518,False,7457594282.808804
uttarakhand,nagaland,0.0,7222126207.532218,0.0,True,7222126207.532218,uttarakhand,1.0,1176920608402.7932,147222997610.6938,147222997610.6938,False,7222126207.532218
andhra pradesh,assam,0.0,6978921133.52944,0.0,True,6978921133.52944,andhra pradesh,1.0,8068367512167.041,454119543652.5958,454119543652.5958,False,6978921133.52944
uttarakhand,gujarat,0.0,6956819676.402882,0.0,True,6956819676.402882,uttarakhand,1.0,1176920608402.7932,147222997610.6938,147222997610.6938,False,6956819676.402882
karnataka,madhya pradesh,0.0,6823384743.921679,0.0,True,6823384743.921679,karnataka,1.0,40410044967093.05,498033281436.85516,498033281436.85516,False,6823384743.921679
telangana,madhya pradesh,0.0,6750947350.0,0.0,True,6750947350.0,telangana,1.0,11852609660379.26,302601080094.03125,302601080094.03125,False,6750947350.0
rajasthan,nagaland,0.0,6445672110.931114,0.0,True,6445672110.931114,rajasthan,1.0,20268478013045.07,366915941903.79456,366915941903.79456,False,6445672110.931114
odisha,bihar,0.0,6414553692.038326,0.0,True,6414553692.038326,odisha,1.0,1140053029414.3657,164716280543.2689,164716280543.2689,False,6414553692.038326
uttar pradesh,jammu and kashmir,0.0,5990914714.466545,0.0,True,5990914714.466545,uttar pradesh,1.0,21001859344296.227,777639824976.4078,777639824976.4078,False,5990914714.466545
maharashtra,goa,0.0,5944794891.297163,0.0,True,5944794891.297163,maharashtra,1.0,30339952650147.773,966577489308.4631,966577489308.4631,False,5944794891.297163
uttarakhand,karnataka,0.0,5664432887.632851,0.0,True,5664432887.632851,uttarakhand,1.0,1176920608402.7932,147222997610.6938,147222997610.6938,False,5664432887.632851
gujarat,maharashtra,0.0,5344050691.152482,0.0,True,5344050691.152482,gujarat,1.0,17487759072427.385,115134758030.7743,115134758030.7743,False,5344050691.152482
andhra pradesh,bihar,0.0,5279261566.402133,0.0,True,5279261566.402133,andhra pradesh,1.0,8068367512167.041,454119543652.5958,454119543652.5958,False,5279261566.402133
karnataka,uttar pradesh,0.0,5184138264.904892,0.0,True,5184138264.904892,karnataka,1.0,40410044967093.05,498033281436.85516,498033281436.85516,False,5184138264.904892
maharashtra,madhya pradesh,0.0,5036973611.032674,0.0,True,5036973611.032674,maharashtra,1.0,30339952650147.773,966577489308.4631,966577489308.4631,False,5036973611.032674
uttarakhand,tripura,0.0,4857781868.685616,0.0,True,4857781868.685616,uttarakhand,1.0,1176920608402.7932,147222997610.6938,147222997610.6938,False,4857781868.685616
uttar pradesh,nagaland,0.0,4729625111.383133,0.0,True,4729625111.383133,uttar pradesh,1.0,21001859344296.227,777639824976.4078,777639824976.4078,False,4729625111.383133
tamil nadu,odisha,0.0,4615418630.667866,0.0,True,4615418630.667866,tamil nadu,1.0,43285307064698.8,160162448344.8518,160162448344.8518,False,4615418630.667866
gujarat,tamil nadu,0.0,4148985231.5156207,0.0,True,4148985231.5156207,gujarat,1.0,17487759072427.385,115134758030.7743,115134758030.7743,False,4148985231.5156207
