State,flow
tamil nadu,51314942512055.66
kerala,32058447993476.62
karnataka,13784912917514.895
haryana,11526209941676.404
gujarat,11258331271585.2
maharashtra,10849714546785.916
bihar,10704791937623.621
uttar pradesh,8651097529193.111
telangana,5367203819854.008
west bengal,5310669112680.737
uttarakhand,5234646592827.697
odisha,4795441088172.126
assam,2922247091872.172
madhya pradesh,2470055164163.6787
andhra pradesh,2147682344508.3113
punjab,2001687628711.964
chhattisgarh,281031149022.7717
rajasthan,87323115304.39897
delhi,17668405319.062767
jammu and kashmir,0.0
chandigarh,0.0
tripura,0.0
daman and diu,0.0
jharkhand,0.0
goa,0.0
nagaland,0.0
mizoram,0.0
meghalaya,0.0
manipur,0.0
himachal pradesh,0.0
arunachal pradesh,0.0
puducherry,0.0
